MonthlyCharges,tenure,Contract,gender,SeniorCitizen,Partner,Dependents,InternetService,PaymentMethod,Actual_Churn,Predicted_Churn
19.95,46,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
19.55,36,One year,Female,0,No,No,No,Mailed check,0,0
110.15,72,Two year,Female,0,Yes,No,Fiber optic,Credit card (automatic),0,0
48.8,6,Month-to-month,Female,0,Yes,Yes,DSL,Mailed check,0,0
20.4,4,Month-to-month,Female,0,No,Yes,No,Credit card (automatic),0,0
85.45,1,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,1,1
83.4,1,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,0,1
100.35,13,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
47.85,64,Two year,Female,0,Yes,No,DSL,Electronic check,1,0
44.55,8,Two year,Male,0,No,Yes,DSL,Mailed check,0,0
112.25,72,Two year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
75.45,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
100.85,4,Month-to-month,Female,0,No,No,Fiber optic,Mailed check,0,1
49.85,1,Month-to-month,Male,0,No,Yes,DSL,Electronic check,0,1
24.25,62,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
96.35,34,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,0
44.4,1,Month-to-month,Male,0,No,Yes,DSL,Electronic check,1,0
101.05,24,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,1
105.25,72,Two year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
19.95,1,Month-to-month,Female,0,No,No,No,Credit card (automatic),0,0
103.5,63,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,0,0
109.25,66,Two year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
79.8,61,One year,Male,0,Yes,No,DSL,Electronic check,0,0
19.95,67,Two year,Male,0,No,No,No,Bank transfer (automatic),0,0
95.5,12,One year,Female,0,No,No,Fiber optic,Mailed check,1,0
34.95,19,Month-to-month,Male,0,Yes,Yes,DSL,Mailed check,0,0
20.5,67,Two year,Male,0,No,No,No,Bank transfer (automatic),0,0
80.0,13,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,0
45.15,1,Month-to-month,Female,0,No,No,DSL,Mailed check,0,0
84.75,3,Month-to-month,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),1,1
20.05,3,Month-to-month,Male,0,No,Yes,No,Mailed check,0,0
104.2,17,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,1
53.75,52,One year,Male,0,No,No,DSL,Electronic check,0,0
19.4,51,One year,Male,0,Yes,Yes,No,Mailed check,0,0
84.85,5,Month-to-month,Female,1,No,No,Fiber optic,Mailed check,1,1
35.65,29,Month-to-month,Female,1,Yes,Yes,DSL,Mailed check,0,0
20.15,1,Month-to-month,Female,0,Yes,Yes,No,Credit card (automatic),1,0
20.15,1,Month-to-month,Female,0,No,No,No,Mailed check,1,1
94.45,42,One year,Female,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
19.65,1,Month-to-month,Male,0,No,No,No,Mailed check,0,1
88.45,16,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
45.2,11,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),0,0
93.85,26,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,1,1
61.0,54,One year,Male,0,No,Yes,DSL,Electronic check,0,0
94.05,30,Month-to-month,Male,0,Yes,No,Fiber optic,Credit card (automatic),1,0
79.4,66,Two year,Male,1,Yes,Yes,DSL,Credit card (automatic),1,0
108.65,72,Two year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
24.0,12,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
106.6,19,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
68.95,9,Month-to-month,Male,0,Yes,No,DSL,Mailed check,0,0
73.35,0,Two year,Female,0,Yes,Yes,DSL,Mailed check,0,0
25.45,66,One year,Male,0,No,No,No,Bank transfer (automatic),0,0
34.55,10,Month-to-month,Male,1,Yes,Yes,DSL,Bank transfer (automatic),0,0
24.45,56,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
19.25,67,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
60.05,64,Two year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
81.3,64,Two year,Female,0,Yes,No,DSL,Mailed check,0,0
70.45,13,Month-to-month,Male,1,Yes,No,Fiber optic,Bank transfer (automatic),0,0
96.1,5,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
35.0,4,Month-to-month,Female,0,No,No,DSL,Mailed check,0,0
20.0,45,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
94.75,18,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,0,1
57.55,3,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
20.6,1,Month-to-month,Male,0,No,No,No,Mailed check,1,0
45.9,29,Month-to-month,Male,0,Yes,No,DSL,Electronic check,0,0
24.6,69,Two year,Female,0,No,No,No,Credit card (automatic),0,0
99.85,21,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,1
44.35,20,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
110.3,72,Two year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
24.35,7,One year,Male,0,No,No,DSL,Credit card (automatic),0,0
20.05,5,Month-to-month,Male,0,No,No,No,Credit card (automatic),0,0
50.35,6,Month-to-month,Female,0,Yes,No,DSL,Electronic check,0,0
66.4,13,Month-to-month,Male,0,No,Yes,DSL,Credit card (automatic),0,0
20.05,1,Month-to-month,Female,0,Yes,Yes,No,Mailed check,0,1
79.1,3,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,0
96.2,7,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,1
84.85,6,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
20.0,1,Month-to-month,Male,0,No,No,No,Mailed check,1,0
20.05,11,One year,Female,0,No,No,No,Credit card (automatic),0,0
99.9,63,One year,Female,0,No,No,Fiber optic,Bank transfer (automatic),1,0
75.05,3,Month-to-month,Female,1,No,No,Fiber optic,Mailed check,0,0
19.15,6,One year,Male,0,No,No,No,Mailed check,0,0
69.2,70,Two year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
90.35,37,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,0,0
20.2,38,Two year,Female,1,No,No,No,Mailed check,0,0
58.55,29,Month-to-month,Female,1,No,No,DSL,Bank transfer (automatic),0,0
19.9,9,One year,Male,0,No,No,No,Electronic check,0,0
20.75,23,One year,Male,1,Yes,No,No,Electronic check,0,0
90.8,20,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,1,0
24.05,70,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
101.0,70,Two year,Male,0,Yes,No,Fiber optic,Credit card (automatic),0,0
84.7,5,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,0,0
80.85,72,Two year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
55.65,72,Two year,Female,0,Yes,Yes,DSL,Credit card (automatic),0,0
94.9,4,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,0,1
20.05,7,Month-to-month,Female,0,No,No,No,Mailed check,1,0
81.85,23,One year,Female,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
64.9,11,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
20.0,23,One year,Male,0,Yes,Yes,No,Credit card (automatic),0,0
54.3,12,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
93.65,49,One year,Male,0,Yes,Yes,Fiber optic,Electronic check,0,0
85.15,14,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,1
36.1,56,One year,Male,0,Yes,Yes,DSL,Credit card (automatic),0,0
19.9,3,Month-to-month,Female,0,Yes,No,No,Mailed check,0,0
110.5,69,Two year,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
80.8,6,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,0,1
20.7,49,One year,Female,0,Yes,No,No,Credit card (automatic),0,0
94.7,18,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,1
69.5,1,Month-to-month,Male,1,No,No,Fiber optic,Bank transfer (automatic),1,1
35.2,3,Month-to-month,Female,0,No,No,DSL,Credit card (automatic),1,0
85.85,2,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
19.65,54,Two year,Male,0,No,No,No,Credit card (automatic),0,0
51.1,24,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),0,0
60.0,54,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
19.75,15,Month-to-month,Male,0,No,No,No,Mailed check,0,0
81.65,45,Two year,Female,0,No,No,DSL,Bank transfer (automatic),0,0
38.25,46,Two year,Male,0,No,No,DSL,Mailed check,0,0
54.2,12,Month-to-month,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
76.05,71,Two year,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
31.65,13,Month-to-month,Female,0,No,No,DSL,Electronic check,0,1
73.0,1,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
91.55,58,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
75.1,7,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),1,0
23.55,48,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
97.65,71,One year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
20.4,9,Month-to-month,Male,0,No,Yes,No,Mailed check,0,0
55.95,18,Month-to-month,Female,0,Yes,Yes,DSL,Mailed check,0,0
20.2,1,Month-to-month,Male,0,No,No,No,Mailed check,0,0
20.05,67,Two year,Female,1,Yes,No,No,Bank transfer (automatic),0,0
85.0,1,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,1
98.0,56,One year,Female,0,Yes,No,Fiber optic,Electronic check,0,0
46.2,54,Two year,Male,0,No,No,DSL,Bank transfer (automatic),0,0
19.7,14,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
46.35,14,Month-to-month,Female,1,No,No,DSL,Electronic check,0,0
69.9,54,Month-to-month,Male,0,No,No,DSL,Mailed check,0,0
68.15,72,Two year,Male,0,Yes,No,DSL,Mailed check,0,0
56.1,17,One year,Male,0,No,No,DSL,Mailed check,0,0
20.0,1,Month-to-month,Female,0,Yes,Yes,No,Electronic check,0,1
85.0,30,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,1,1
20.15,50,Two year,Female,0,No,Yes,No,Credit card (automatic),0,0
19.95,3,Month-to-month,Male,0,No,Yes,No,Mailed check,0,0
74.15,12,Month-to-month,Male,0,Yes,No,DSL,Electronic check,0,0
81.15,13,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
69.3,25,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,0,1
90.4,2,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
70.7,36,One year,Female,0,No,No,DSL,Mailed check,0,0
50.25,3,Month-to-month,Male,0,No,No,DSL,Mailed check,0,0
63.85,66,Month-to-month,Male,0,Yes,No,DSL,Electronic check,0,0
101.1,15,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,1
73.8,61,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
114.95,70,Two year,Male,0,No,No,Fiber optic,Bank transfer (automatic),0,0
39.85,35,Month-to-month,Female,1,No,No,DSL,Electronic check,0,1
48.6,1,Month-to-month,Female,0,No,No,DSL,Credit card (automatic),1,0
20.65,48,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
40.05,70,Two year,Male,0,No,No,DSL,Mailed check,0,0
105.3,12,Month-to-month,Female,0,No,Yes,Fiber optic,Electronic check,0,1
114.1,61,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,0,0
84.25,38,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,0
71.35,1,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,1,0
65.2,56,One year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
85.4,5,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,1
45.9,11,Month-to-month,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
106.15,59,One year,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
45.4,1,Month-to-month,Female,0,No,No,DSL,Mailed check,0,1
104.15,72,Two year,Male,1,Yes,No,Fiber optic,Bank transfer (automatic),1,0
20.15,22,One year,Male,0,Yes,Yes,No,Mailed check,0,0
44.6,17,One year,Male,0,No,Yes,DSL,Mailed check,0,0
44.45,50,One year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
66.65,8,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
59.8,56,Two year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
80.3,3,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,0
20.4,40,Month-to-month,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
101.4,67,Month-to-month,Male,1,No,No,Fiber optic,Credit card (automatic),0,0
91.65,4,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,1,1
20.85,67,One year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
50.3,4,Month-to-month,Female,0,Yes,Yes,DSL,Electronic check,0,0
24.1,61,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
26.3,69,One year,Female,0,Yes,No,No,Electronic check,0,0
20.15,49,Two year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
85.3,49,Month-to-month,Male,0,Yes,No,Fiber optic,Credit card (automatic),0,0
113.2,35,Two year,Female,0,No,No,Fiber optic,Mailed check,0,0
24.45,69,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
59.85,60,Two year,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
40.1,1,Month-to-month,Female,0,Yes,Yes,DSL,Electronic check,1,1
55.85,17,One year,Female,0,No,Yes,DSL,Mailed check,1,0
44.55,1,Month-to-month,Female,0,No,No,DSL,Credit card (automatic),0,1
20.55,5,One year,Male,0,Yes,Yes,No,Electronic check,0,0
20.4,13,Two year,Female,0,No,No,No,Mailed check,0,0
74.35,4,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,1,1
78.75,53,One year,Male,0,Yes,Yes,DSL,Mailed check,0,0
64.45,72,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
20.75,24,Two year,Male,0,No,No,No,Mailed check,0,0
24.7,19,Month-to-month,Female,0,No,No,No,Bank transfer (automatic),0,0
19.85,1,Month-to-month,Male,0,No,Yes,No,Mailed check,0,1
75.6,5,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
86.7,71,One year,Male,1,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
89.05,72,Two year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
59.65,42,Month-to-month,Female,0,No,No,DSL,Bank transfer (automatic),0,0
55.5,14,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),0,0
51.25,1,Month-to-month,Male,0,No,No,DSL,Mailed check,0,0
70.65,2,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
92.45,72,Two year,Female,1,Yes,Yes,DSL,Credit card (automatic),1,0
88.35,13,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,1
77.8,18,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,0
96.75,45,One year,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
100.15,55,One year,Female,1,No,No,Fiber optic,Electronic check,0,1
50.05,1,Month-to-month,Male,0,No,Yes,DSL,Electronic check,0,0
21.1,1,Month-to-month,Male,0,No,No,No,Mailed check,0,0
24.8,65,One year,Male,0,No,No,No,Credit card (automatic),0,0
69.1,46,Month-to-month,Female,0,Yes,No,DSL,Credit card (automatic),0,0
20.75,21,Month-to-month,Female,0,No,Yes,No,Mailed check,0,0
101.25,24,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,1
61.25,34,One year,Female,0,Yes,Yes,DSL,Mailed check,0,0
74.65,13,One year,Female,0,No,No,Fiber optic,Mailed check,0,0
69.7,48,One year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
106.8,56,One year,Female,0,No,No,Fiber optic,Electronic check,0,0
100.4,42,Two year,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
54.7,4,Month-to-month,Female,0,Yes,No,DSL,Mailed check,0,0
55.15,65,Month-to-month,Female,0,Yes,No,DSL,Mailed check,0,0
25.0,3,Month-to-month,Male,0,Yes,No,DSL,Mailed check,0,0
80.6,70,Two year,Female,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
88.8,1,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,1
54.8,66,One year,Male,0,No,No,DSL,Mailed check,0,0
55.0,19,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),1,0
24.25,70,Two year,Male,0,Yes,No,No,Bank transfer (automatic),0,0
99.65,41,Two year,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
109.75,45,Two year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
20.45,49,One year,Female,0,Yes,No,No,Bank transfer (automatic),0,0
90.5,22,Month-to-month,Male,1,No,No,Fiber optic,Bank transfer (automatic),1,0
99.75,56,One year,Female,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
55.7,15,Month-to-month,Female,0,No,No,DSL,Mailed check,1,0
100.25,67,One year,Female,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
19.65,1,One year,Male,0,Yes,Yes,No,Mailed check,0,0
101.15,38,Month-to-month,Male,1,Yes,Yes,Fiber optic,Electronic check,0,0
74.0,52,One year,Female,0,No,No,DSL,Credit card (automatic),0,0
20.1,34,One year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
19.9,69,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
101.7,4,Month-to-month,Male,0,No,Yes,Fiber optic,Electronic check,1,1
58.55,63,One year,Female,0,No,No,DSL,Credit card (automatic),0,0
19.75,24,Two year,Male,0,Yes,No,No,Mailed check,0,0
90.7,62,Month-to-month,Male,0,No,No,Fiber optic,Bank transfer (automatic),0,0
19.25,36,One year,Female,0,No,No,No,Bank transfer (automatic),0,0
68.15,38,Month-to-month,Female,0,No,No,DSL,Credit card (automatic),0,0
80.35,47,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,1,0
79.45,38,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,0
92.15,42,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,0
25.25,42,Two year,Female,0,Yes,No,No,Electronic check,0,0
75.3,3,Month-to-month,Female,0,No,No,DSL,Electronic check,0,0
100.3,8,Month-to-month,Male,1,No,No,Fiber optic,Credit card (automatic),1,1
84.4,9,Month-to-month,Male,1,No,No,Fiber optic,Credit card (automatic),1,1
68.4,58,One year,Female,0,Yes,No,DSL,Electronic check,0,0
60.05,21,Month-to-month,Male,1,No,No,DSL,Bank transfer (automatic),1,0
20.9,10,Month-to-month,Female,0,No,No,No,Mailed check,0,0
98.9,70,One year,Female,0,No,No,Fiber optic,Electronic check,0,0
75.0,26,One year,Male,0,No,No,DSL,Bank transfer (automatic),0,0
96.5,36,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,0
67.8,72,Two year,Male,0,Yes,No,DSL,Bank transfer (automatic),0,0
74.25,9,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,0
100.15,15,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
83.0,63,One year,Female,1,No,No,DSL,Bank transfer (automatic),0,0
63.75,4,Month-to-month,Male,0,No,No,DSL,Bank transfer (automatic),0,0
20.6,25,Month-to-month,Male,0,No,No,No,Mailed check,0,0
19.6,46,Month-to-month,Male,0,Yes,No,No,Electronic check,0,0
104.15,44,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,0,0
20.45,12,Month-to-month,Male,0,No,No,No,Mailed check,0,0
44.8,1,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
48.55,1,Month-to-month,Male,0,No,No,DSL,Mailed check,1,0
61.6,20,Month-to-month,Female,1,No,No,DSL,Mailed check,1,0
117.5,72,Two year,Female,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
60.45,53,One year,Male,0,Yes,No,DSL,Electronic check,1,0
19.2,52,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
74.2,2,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,0,1
93.5,50,Month-to-month,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
69.0,17,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,1,1
29.45,51,Month-to-month,Male,1,Yes,No,DSL,Credit card (automatic),0,0
78.75,16,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,0,1
95.05,18,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
85.45,71,One year,Male,0,Yes,Yes,DSL,Electronic check,0,0
44.8,68,One year,Male,0,Yes,Yes,DSL,Mailed check,0,0
74.7,1,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,0,0
18.7,25,Two year,Female,0,Yes,Yes,No,Mailed check,0,0
93.15,24,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,0
50.75,14,Month-to-month,Male,0,No,No,DSL,Electronic check,1,0
59.2,55,Two year,Male,0,No,No,DSL,Electronic check,0,0
61.05,25,One year,Female,0,No,No,DSL,Electronic check,0,0
60.2,10,Month-to-month,Male,0,Yes,Yes,DSL,Mailed check,0,0
103.9,61,One year,Male,0,Yes,Yes,Fiber optic,Credit card (automatic),0,0
59.15,6,Month-to-month,Male,0,No,No,DSL,Bank transfer (automatic),0,0
19.95,13,Two year,Male,0,No,No,No,Mailed check,0,0
19.3,2,Month-to-month,Female,0,No,No,No,Mailed check,0,0
45.0,1,Month-to-month,Female,0,Yes,No,DSL,Electronic check,0,1
70.35,2,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
96.2,49,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,1
45.3,1,Month-to-month,Female,0,No,No,DSL,Mailed check,1,1
94.3,37,Two year,Male,0,Yes,No,Fiber optic,Mailed check,0,0
20.15,40,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
94.75,23,Month-to-month,Female,1,No,No,Fiber optic,Electronic check,1,1
108.1,66,One year,Female,1,No,No,Fiber optic,Bank transfer (automatic),0,0
92.55,17,Month-to-month,Male,0,Yes,Yes,Fiber optic,Electronic check,1,1
85.05,9,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,1,1
101.25,39,Month-to-month,Female,1,Yes,No,Fiber optic,Electronic check,0,0
40.1,23,Two year,Male,0,No,Yes,DSL,Mailed check,0,0
20.15,50,One year,Male,0,No,No,No,Credit card (automatic),0,0
97.9,3,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,1,1
19.45,61,One year,Female,0,No,No,No,Bank transfer (automatic),0,0
88.95,24,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,0
84.8,14,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,0,1
25.75,52,Two year,Male,0,Yes,Yes,No,Mailed check,0,0
84.3,15,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,1,1
59.4,33,One year,Female,0,No,No,DSL,Electronic check,0,0
95.35,69,Month-to-month,Male,1,Yes,No,Fiber optic,Bank transfer (automatic),0,0
88.1,61,Two year,Female,0,Yes,Yes,DSL,Mailed check,0,0
116.05,71,Two year,Male,0,Yes,Yes,Fiber optic,Bank transfer (automatic),0,0
90.8,53,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,0
55.65,42,Month-to-month,Female,1,No,No,DSL,Electronic check,0,0
79.2,36,Month-to-month,Male,0,No,No,DSL,Credit card (automatic),0,0
105.5,25,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,0
20.7,8,Month-to-month,Female,0,No,No,No,Mailed check,0,0
95.6,16,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),1,0
89.75,12,Month-to-month,Female,0,No,No,Fiber optic,Bank transfer (automatic),1,1
104.8,28,Month-to-month,Female,0,Yes,No,Fiber optic,Electronic check,1,1
94.1,7,Month-to-month,Male,0,No,No,Fiber optic,Electronic check,0,1
104.9,32,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,1,0
78.65,1,Month-to-month,Female,0,No,Yes,Fiber optic,Electronic check,1,1
30.45,8,Month-to-month,Male,0,No,No,DSL,Electronic check,1,0
103.4,63,Month-to-month,Male,0,Yes,No,Fiber optic,Electronic check,1,0
34.7,1,Month-to-month,Female,0,No,No,DSL,Electronic check,1,1
102.5,60,One year,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
86.25,16,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,1
92.0,71,One year,Male,1,Yes,No,Fiber optic,Electronic check,0,0
85.05,40,One year,Male,0,Yes,Yes,Fiber optic,Electronic check,0,0
99.75,18,Month-to-month,Female,1,Yes,No,Fiber optic,Bank transfer (automatic),1,1
78.75,5,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,0,0
79.0,33,Month-to-month,Male,0,No,No,Fiber optic,Credit card (automatic),0,0
19.75,13,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
50.25,40,One year,Female,0,No,No,DSL,Mailed check,0,0
116.1,67,Two year,Male,1,No,No,Fiber optic,Credit card (automatic),0,0
50.15,16,Month-to-month,Female,0,No,No,DSL,Electronic check,1,0
66.4,59,One year,Male,0,Yes,No,DSL,Credit card (automatic),0,0
69.95,8,Month-to-month,Male,1,No,No,Fiber optic,Credit card (automatic),0,0
24.1,24,Two year,Male,0,Yes,Yes,No,Bank transfer (automatic),0,0
20.25,7,Month-to-month,Male,0,Yes,Yes,No,Mailed check,0,0
24.1,72,Two year,Male,0,Yes,Yes,No,Credit card (automatic),0,0
88.15,44,Month-to-month,Female,0,No,No,Fiber optic,Credit card (automatic),0,0
74.95,38,Month-to-month,Female,1,Yes,No,Fiber optic,Bank transfer (automatic),1,0
55.9,4,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
53.45,2,Month-to-month,Male,0,No,No,DSL,Electronic check,0,0
49.85,70,Two year,Female,0,Yes,No,DSL,Bank transfer (automatic),0,0
90.65,33,Month-to-month,Female,0,No,No,Fiber optic,Electronic check,0,0
24.9,1,Month-to-month,Female,0,No,No,DSL,Mailed check,0,1
35.55,39,One year,Male,0,No,No,DSL,Mailed check,0,0
116.5,55,Month-to-month,Male,1,No,No,Fiber optic,Electronic check,0,0
68.75,52,One year,Male,0,Yes,Yes,DSL,Electronic check,0,0
51.2,30,Month-to-month,Female,0,Yes,Yes,DSL,Credit card (automatic),1,0
99.0,60,Month-to-month,Male,1,Yes,No,Fiber optic,Electronic check,0,0
54.9,50,One year,Male,0,Yes,Yes,DSL,Bank transfer (automatic),0,0
109.55,32,One year,Female,0,No,No,Fiber optic,Bank transfer (automatic),0,0
106.8,51,One year,Male,0,Yes,No,Fiber optic,Bank transfer (automatic),0,0
74.3,1,Month-to-month,Male,0,No,No,Fiber optic,Mailed check,0,1
25.6,69,Two year,Female,0,Yes,Yes,No,Bank transfer (automatic),0,0
94.2,42,Month-to-month,Female,0,Yes,Yes,Fiber optic,Electronic check,1,0
